basis,torsion angle (deg),method,state index,spin multiplicity,spin type,energy (Hartree)
cc-pvdz,50.0,LDA,2,1,INVARIANT,-77.54194738405366
cc-pvdz,50.0,LDA,3,1,INVARIANT,-77.43380328149172
cc-pvdz,52.0,LDA,1,1,INVARIANT,-77.69799483143127
cc-pvdz,52.0,LDA,2,1,INVARIANT,-77.54426323438926
cc-pvdz,52.0,LDA,3,1,INVARIANT,-77.44227403693213
cc-pvdz,54.0,LDA,1,1,INVARIANT,-77.69417837043703
cc-pvdz,54.0,LDA,2,1,INVARIANT,-77.54647739977865
cc-pvdz,54.0,LDA,3,1,INVARIANT,-77.45066223742292
cc-pvdz,56.0,LDA,1,1,INVARIANT,-77.69022848183732
cc-pvdz,56.0,LDA,2,1,INVARIANT,-77.5485868772816
cc-pvdz,56.0,LDA,3,1,INVARIANT,-77.45896007793512
cc-pvdz,58.0,LDA,1,1,INVARIANT,-77.68614954942763
cc-pvdz,58.0,LDA,2,1,INVARIANT,-77.55058878312022
cc-pvdz,58.0,LDA,3,1,INVARIANT,-77.46715904098608
cc-pvdz,60.0,LDA,1,1,INVARIANT,-77.68194695713525
cc-pvdz,60.0,LDA,2,1,INVARIANT,-77.55248052152854
cc-pvdz,60.0,LDA,3,1,INVARIANT,-77.47524991467736
cc-pvdz,62.0,LDA,1,1,INVARIANT,-77.67762703629498
cc-pvdz,62.0,LDA,2,1,INVARIANT,-77.55425988654194
cc-pvdz,62.0,LDA,3,1,INVARIANT,-77.48322280160775
cc-pvdz,64.0,LDA,1,1,INVARIANT,-77.6731983275665
cc-pvdz,64.0,LDA,2,1,INVARIANT,-77.55592478788502
cc-pvdz,64.0,LDA,3,1,INVARIANT,-77.49106608916644
cc-pvdz,66.0,LDA,1,1,INVARIANT,-77.66867124572876
cc-pvdz,66.0,LDA,2,1,INVARIANT,-77.55747342820588
cc-pvdz,66.0,LDA,3,1,INVARIANT,-77.49876647973609
cc-pvdz,68.0,LDA,1,1,INVARIANT,-77.66405932128433
cc-pvdz,68.0,LDA,2,1,INVARIANT,-77.55890413035664
cc-pvdz,68.0,LDA,3,1,INVARIANT,-77.50630779042915
cc-pvdz,70.0,LDA,1,1,INVARIANT,-77.65938011623655
cc-pvdz,70.0,LDA,2,1,INVARIANT,-77.56021535655465
cc-pvdz,70.0,LDA,3,1,INVARIANT,-77.51366994943862
cc-pvdz,72.0,LDA,1,1,INVARIANT,-77.65465700429242
cc-pvdz,72.0,LDA,2,1,INVARIANT,-77.56140569201334
cc-pvdz,72.0,LDA,3,1,INVARIANT,-77.52082724492307
cc-pvdz,74.0,LDA,1,1,INVARIANT,-77.64992167624172
cc-pvdz,74.0,LDA,2,1,INVARIANT,-77.56247387778743
cc-pvdz,74.0,LDA,3,1,INVARIANT,-77.52774584407835
cc-pvdz,76.0,LDA,1,1,INVARIANT,-77.64521798077885
cc-pvdz,76.0,LDA,2,1,INVARIANT,-77.56341880069388
cc-pvdz,76.0,LDA,3,1,INVARIANT,-77.53438000982344
cc-pvdz,78.0,LDA,1,1,INVARIANT,-77.64060777429624
cc-pvdz,78.0,LDA,2,1,INVARIANT,-77.56423949689787
cc-pvdz,78.0,LDA,3,1,INVARIANT,-77.54066627124476
cc-pvdz,80.0,LDA,1,1,INVARIANT,-77.63617948164655
cc-pvdz,80.0,LDA,2,1,INVARIANT,-77.56493515745426
cc-pvdz,80.0,LDA,3,1,INVARIANT,-77.54651485723743
cc-pvdz,82.0,LDA,1,1,INVARIANT,-77.63205965262001
cc-pvdz,82.0,LDA,2,1,INVARIANT,-77.56550515868939
cc-pvdz,82.0,LDA,3,1,INVARIANT,-77.55179809009492
cc-pvdz,84.0,LDA,1,1,INVARIANT,-77.62842696577755
cc-pvdz,84.0,LDA,2,1,INVARIANT,-77.56594896082113
cc-pvdz,84.0,LDA,3,1,INVARIANT,-77.55633646390977
cc-pvdz,86.0,LDA,1,1,INVARIANT,-77.62551809210541
cc-pvdz,86.0,LDA,2,1,INVARIANT,-77.56626618480597
cc-pvdz,86.0,LDA,3,1,INVARIANT,-77.55989268448715
cc-pvdz,88.0,LDA,1,1,INVARIANT,-77.62360809874805
cc-pvdz,88.0,LDA,2,1,INVARIANT,-77.56645660073409
cc-pvdz,88.0,LDA,3,1,INVARIANT,-77.56219124863887
cc-pvdz,90.0,LDA,1,1,INVARIANT,-77.62293827987611
cc-pvdz,90.0,LDA,2,1,INVARIANT,-77.56652009550513
cc-pvdz,90.0,LDA,3,1,INVARIANT,-77.56299060676565
cc-pvdz,92.0,LDA,1,1,INVARIANT,-77.623608098748
cc-pvdz,92.0,LDA,2,1,INVARIANT,-77.56645660073399
cc-pvdz,92.0,LDA,3,1,INVARIANT,-77.56219124863883
cc-pvdz,94.0,LDA,1,1,INVARIANT,-77.6255180921054
cc-pvdz,94.0,LDA,2,1,INVARIANT,-77.56626618480601
cc-pvdz,94.0,LDA,3,1,INVARIANT,-77.55989268448715
cc-pvdz,96.0,LDA,1,1,INVARIANT,-77.62842696577748
cc-pvdz,96.0,LDA,2,1,INVARIANT,-77.565948960821
cc-pvdz,96.0,LDA,3,1,INVARIANT,-77.55633646390967
cc-pvdz,98.0,LDA,1,1,INVARIANT,-77.63205965261997
cc-pvdz,98.0,LDA,2,1,INVARIANT,-77.56550515868939
cc-pvdz,98.0,LDA,3,1,INVARIANT,-77.55179809009488
cc-pvdz,100.0,LDA,1,1,INVARIANT,-77.63617948164658
cc-pvdz,100.0,LDA,2,1,INVARIANT,-77.56493515745434
cc-pvdz,100.0,LDA,3,1,INVARIANT,-77.54651485723751
cc-pvdz,102.0,LDA,1,1,INVARIANT,-77.64060777429636
cc-pvdz,102.0,LDA,2,1,INVARIANT,-77.56423949689793
cc-pvdz,102.0,LDA,3,1,INVARIANT,-77.54066627124482
cc-pvdz,104.0,LDA,1,1,INVARIANT,-77.64521798077892
cc-pvdz,104.0,LDA,2,1,INVARIANT,-77.56341880069395
cc-pvdz,104.0,LDA,3,1,INVARIANT,-77.53438000982344
cc-pvdz,106.0,LDA,1,1,INVARIANT,-77.64992167624165
cc-pvdz,106.0,LDA,2,1,INVARIANT,-77.56247387778737
cc-pvdz,106.0,LDA,3,1,INVARIANT,-77.52774584407825
cc-pvdz,108.0,LDA,1,1,INVARIANT,-77.65465700429235
cc-pvdz,108.0,LDA,2,1,INVARIANT,-77.56140569201332
cc-pvdz,108.0,LDA,3,1,INVARIANT,-77.52082724492314
cc-pvdz,110.0,LDA,1,1,INVARIANT,-77.6593801162365
cc-pvdz,110.0,LDA,2,1,INVARIANT,-77.56021535655468
cc-pvdz,110.0,LDA,3,1,INVARIANT,-77.51366994943868
cc-pvdz,112.0,LDA,1,1,INVARIANT,-77.66405932128431
cc-pvdz,112.0,LDA,2,1,INVARIANT,-77.55890413035662
cc-pvdz,112.0,LDA,3,1,INVARIANT,-77.50630779042918
cc-pvdz,114.0,LDA,1,1,INVARIANT,-77.66867124572883
cc-pvdz,114.0,LDA,2,1,INVARIANT,-77.55747342820597
cc-pvdz,114.0,LDA,3,1,INVARIANT,-77.49876647973615
cc-pvdz,116.0,LDA,1,1,INVARIANT,-77.67319832756655
cc-pvdz,116.0,LDA,2,1,INVARIANT,-77.55592478788496
cc-pvdz,116.0,LDA,3,1,INVARIANT,-77.49106608916644
cc-pvdz,118.0,LDA,1,1,INVARIANT,-77.6776270362949
cc-pvdz,118.0,LDA,2,1,INVARIANT,-77.55425988654189
cc-pvdz,118.0,LDA,3,1,INVARIANT,-77.4832228016077
cc-pvdz,120.0,LDA,1,1,INVARIANT,-77.6819469571353
cc-pvdz,120.0,LDA,2,1,INVARIANT,-77.55248052152851
cc-pvdz,120.0,LDA,3,1,INVARIANT,-77.47524991467736
cc-pvdz,122.0,LDA,1,1,INVARIANT,-77.68614954942764
cc-pvdz,122.0,LDA,2,1,INVARIANT,-77.55058878312029
cc-pvdz,122.0,LDA,3,1,INVARIANT,-77.46715904098606
cc-pvdz,124.0,LDA,1,1,INVARIANT,-77.69022848183738
cc-pvdz,124.0,LDA,2,1,INVARIANT,-77.54858687728162
cc-pvdz,124.0,LDA,3,1,INVARIANT,-77.4589600779351
