state index,energy (Hartree),torsion angle (deg),method,basis,spin multiplicity,spin type
2,-78.0848606274,52.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9971840882,52.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2691622329,54.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0872086674,54.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0052755534,54.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2651152689,56.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0894441951,56.0,XMS-CASPT2,cc-pvdz,1,
3,-78.013292762,56.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2609637882,58.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0915646414,58.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0212204875,58.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2567181017,60.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0935676376,60.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0290423368,60.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2523905874,62.0,XMS-CASPT2,cc-pvdz,1,
2,-78.095451003,62.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0367403043,62.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2479962502,64.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0972127352,64.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0442941951,64.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2435534563,66.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0988510006,66.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0516808764,66.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2390848971,68.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1003641268,68.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0588732994,68.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2346188505,70.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1017505963,70.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0658392242,70.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2301908174,72.0,XMS-CASPT2,cc-pvdz,1,
2,-78.10300904,72.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0725395722,72.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2258455976,74.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1041382329,74.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0789263387,74.0,XMS-CASPT2,cc-pvdz,1,
1,-78.221639813,76.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1051370893,76.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0849400601,76.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2176447252,78.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1060046593,78.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0905069873,78.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2139488362,80.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1067401255,80.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0955364782,80.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2106591036,82.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1073428006,82.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0999197751,82.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2078986599,84.0,XMS-CASPT2,cc-pvdz,1,
2,-78.107812125,84.0,XMS-CASPT2,cc-pvdz,1,
3,-78.1035322798,84.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2057981705,86.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1081476652,86.0,XMS-CASPT2,cc-pvdz,1,
3,-78.1062421921,86.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2044787301,88.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1083491126,88.0,XMS-CASPT2,cc-pvdz,1,
3,-78.107927609,88.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2023818886,90.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1095358783,90.0,XMS-CASPT2,cc-pvdz,1,
3,-78.1090436421,90.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2044787301,92.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1083491126,92.0,XMS-CASPT2,cc-pvdz,1,
3,-78.107927609,92.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2057981705,94.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1081476652,94.0,XMS-CASPT2,cc-pvdz,1,
3,-78.1062421921,94.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2078986599,96.0,XMS-CASPT2,cc-pvdz,1,
2,-78.107812125,96.0,XMS-CASPT2,cc-pvdz,1,
3,-78.1035322798,96.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2106591036,98.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1073428006,98.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0999197751,98.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2139488362,100.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1067401255,100.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0955364782,100.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2176447252,102.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1060046593,102.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0905069873,102.0,XMS-CASPT2,cc-pvdz,1,
1,-78.221639813,104.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1051370893,104.0,XMS-CASPT2,cc-pvdz,1,
3,-78.08494006,104.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2258455975,106.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1041382329,106.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0789263387,106.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2301908174,108.0,XMS-CASPT2,cc-pvdz,1,
2,-78.10300904,108.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0725395722,108.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2346188506,110.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1017505963,110.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0658392242,110.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2390848971,112.0,XMS-CASPT2,cc-pvdz,1,
2,-78.1003641269,112.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0588732994,112.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2435534563,114.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0988510006,114.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0516808764,114.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2479962502,116.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0972127352,116.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0442941951,116.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2523905874,118.0,XMS-CASPT2,cc-pvdz,1,
2,-78.095451003,118.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0367403043,118.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2567181017,120.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0935676376,120.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0290423368,120.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2609637882,122.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0915646414,122.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0212204875,122.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2651152689,124.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0894441951,124.0,XMS-CASPT2,cc-pvdz,1,
3,-78.013292762,124.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2691622329,126.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0872086674,126.0,XMS-CASPT2,cc-pvdz,1,
3,-78.0052755534,126.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2730960067,128.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0848606274,128.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9971840882,128.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2769092223,130.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0824028588,130.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9890327763,130.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2805955582,132.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0798383766,132.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9808354863,132.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2841495359,134.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0771704469,134.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9726057677,134.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2875663578,136.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0744026108,136.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9643570305,136.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2908417748,138.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0715387133,138.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9561026927,138.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2939719781,140.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0685829384,140.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9478563043,140.0,XMS-CASPT2,cc-pvdz,1,
1,-78.296953508,142.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0655398527,142.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9396316509,142.0,XMS-CASPT2,cc-pvdz,1,
1,-78.2997831741,144.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0624144597,144.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9314428441,144.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3024579847,146.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0592122679,146.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9233043989,146.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3049750816,148.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0559393801,148.0,XMS-CASPT2,cc-pvdz,1,
3,-77.9152313066,148.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3073316768,150.0,XMS-CASPT2,cc-pvdz,1,
2,-78.052602607,150.0,XMS-CASPT2,cc-pvdz,1,
3,-77.907239104,150.0,XMS-CASPT2,cc-pvdz,1,
1,-78.3095249907,152.0,XMS-CASPT2,cc-pvdz,1,
2,-78.0492096208,152.0,XMS-CASPT2,cc-pvdz,1,
