basis,bond length (Angstrom),state index,spin multiplicity,spin type,energy (Hartree),method
cc-pvdz,0.2,1,1,,0.15642654494760322,KS-LDA
cc-pvdz,0.2,1,3,,0.8504369428261662,KS-LDA
cc-pvdz,0.2539325842696629,1,1,,-0.33403811070022904,KS-LDA
cc-pvdz,0.2539325842696629,1,3,,0.328619297904136,KS-LDA
cc-pvdz,0.3078651685393259,1,1,,-0.6258706596215926,KS-LDA
cc-pvdz,0.3078651685393259,1,3,,0.004408432624661396,KS-LDA
cc-pvdz,0.3617977528089888,1,1,,-0.8092608244757333,KS-LDA
cc-pvdz,0.3617977528089888,1,3,,-0.21160497601506845,KS-LDA
cc-pvdz,0.4157303370786517,1,1,,-0.9280357151689487,KS-LDA
cc-pvdz,0.4157303370786517,1,3,,-0.3627460208589075,KS-LDA
cc-pvdz,0.4696629213483146,1,1,,-1.006048359666089,KS-LDA
cc-pvdz,0.4696629213483146,1,3,,-0.47255825074701585,KS-LDA
cc-pvdz,0.5235955056179775,1,1,,-1.057292893782375,KS-LDA
cc-pvdz,0.5235955056179775,1,3,,-0.5548683113472113,KS-LDA
cc-pvdz,0.5775280898876405,1,1,,-1.090434823816409,KS-LDA
cc-pvdz,0.5775280898876405,1,3,,-0.6182633193475159,KS-LDA
cc-pvdz,0.6314606741573034,1,1,,-1.1110656131712577,KS-LDA
cc-pvdz,0.6314606741573034,1,3,,-0.668303247098088,KS-LDA
cc-pvdz,0.6853932584269663,1,1,,-1.1229079992064166,KS-LDA
cc-pvdz,0.6853932584269663,1,3,,-0.7086949968621825,KS-LDA
cc-pvdz,0.7393258426966292,1,1,,-1.1285019956698594,KS-LDA
cc-pvdz,0.7393258426966292,1,3,,-0.7419551066728408,KS-LDA
cc-pvdz,0.7932584269662921,1,1,,-1.1296178196310858,KS-LDA
cc-pvdz,0.7932584269662921,1,3,,-0.769812261374475,KS-LDA
cc-pvdz,0.8471910112359551,1,1,,-1.127514170164867,KS-LDA
cc-pvdz,0.8471910112359551,1,3,,-0.7934697288569543,KS-LDA
cc-pvdz,0.901123595505618,1,1,,-1.1231029296608015,KS-LDA
cc-pvdz,0.901123595505618,1,3,,-0.8137812366507376,KS-LDA
cc-pvdz,0.955056179775281,1,1,,-1.117055248374676,KS-LDA
cc-pvdz,0.955056179775281,1,3,,-0.8313671248995869,KS-LDA
cc-pvdz,1.0089887640449438,1,1,,-1.1098708069125478,KS-LDA
cc-pvdz,1.0089887640449438,1,3,,-0.8466897239114463,KS-LDA
cc-pvdz,1.0629213483146067,1,1,,-1.1019240904433079,KS-LDA
cc-pvdz,1.0629213483146067,1,3,,-0.860102320280275,KS-LDA
cc-pvdz,1.1168539325842697,1,1,,-1.0934963578073618,KS-LDA
cc-pvdz,1.1168539325842697,1,3,,-0.8718814295829631,KS-LDA
cc-pvdz,1.1707865168539326,1,1,,-1.0847986395047269,KS-LDA
cc-pvdz,1.1707865168539326,1,3,,-0.8822485137142386,KS-LDA
cc-pvdz,1.2247191011235954,1,1,,-1.0759887831736659,KS-LDA
cc-pvdz,1.2247191011235954,1,3,,-0.8913847193666082,KS-LDA
cc-pvdz,1.2786516853932584,1,1,,-1.0671844194053033,KS-LDA
cc-pvdz,1.2786516853932584,1,3,,-0.8994410746769261,KS-LDA
cc-pvdz,1.3325842696629213,1,1,,-1.0584728219671296,KS-LDA
cc-pvdz,1.3325842696629213,1,3,,-0.9065455431559155,KS-LDA
cc-pvdz,1.3865168539325843,1,1,,-1.049918444965962,KS-LDA
cc-pvdz,1.3865168539325843,1,3,,-0.9128080836315309,KS-LDA
cc-pvdz,1.4404494382022472,1,1,,-1.0415685712285923,KS-LDA
cc-pvdz,1.4404494382022472,1,3,,-0.918324279388216,KS-LDA
cc-pvdz,1.4943820224719102,1,1,,-1.0334575427892636,KS-LDA
cc-pvdz,1.4943820224719102,1,3,,-0.9231780654019253,KS-LDA
cc-pvdz,1.548314606741573,1,1,,-1.0256098534352194,KS-LDA
cc-pvdz,1.548314606741573,1,3,,-0.9274437325008387,KS-LDA
cc-pvdz,1.602247191011236,1,1,,-1.0180423862616534,KS-LDA
cc-pvdz,1.602247191011236,1,3,,-0.9311874068660608,KS-LDA
cc-pvdz,1.6561797752808989,1,1,,-1.0107660554142133,KS-LDA
cc-pvdz,1.6561797752808989,1,3,,-0.9344681797006966,KS-LDA
cc-pvdz,1.7101123595505618,1,1,,-1.003787046801183,KS-LDA
cc-pvdz,1.7101123595505618,1,3,,-0.9373390050886952,KS-LDA
cc-pvdz,1.7640449438202248,1,1,,-0.9971077919453848,KS-LDA
cc-pvdz,1.7640449438202248,1,3,,-0.9398474263502716,KS-LDA
cc-pvdz,1.8179775280898876,1,1,,-0.9907276889305485,KS-LDA
cc-pvdz,1.8179775280898876,1,3,,-0.9420360761234676,KS-LDA
cc-pvdz,1.8719101123595505,1,1,,-0.9846436442130878,KS-LDA
cc-pvdz,1.8719101123595505,1,3,,-0.9439430291092389,KS-LDA
cc-pvdz,1.9258426966292135,1,1,,-0.9788505398810721,KS-LDA
cc-pvdz,1.9258426966292135,1,3,,-0.9456021410601434,KS-LDA
cc-pvdz,1.9797752808988764,1,1,,-0.9733416935238235,KS-LDA
cc-pvdz,1.9797752808988764,1,3,,-0.9470434481584493,KS-LDA
cc-pvdz,2.0337078651685396,1,1,,-0.9681092504040262,KS-LDA
cc-pvdz,2.0337078651685396,1,3,,-0.9482935282067372,KS-LDA
cc-pvdz,2.087640449438202,1,1,,-0.9631445032203668,KS-LDA
cc-pvdz,2.087640449438202,1,3,,-0.9493758251829362,KS-LDA
cc-pvdz,2.141573033707865,1,1,,-0.9584381820744804,KS-LDA
cc-pvdz,2.141573033707865,1,3,,-0.9503109987749477,KS-LDA
cc-pvdz,2.195505617977528,1,1,,-0.9539806731866822,KS-LDA
cc-pvdz,2.195505617977528,1,3,,-0.9511172284815894,KS-LDA
cc-pvdz,2.249438202247191,1,1,,-0.9497621764471866,KS-LDA
cc-pvdz,2.249438202247191,1,3,,-0.9518104859742504,KS-LDA
